aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
ABE,9E,240,8.29,2.09,0.8,-3.6,1
ABE,G4,436,10.12,4.98,1.4,-1.77,2
ABE,OH,228,13.01,3.95,1.8,1.12,3
ABE,OO,66,34.73,31.02,9.1,22.84,4
ABI,MQ,449,7.0,3.67,1.3,0.0,1
ABQ,AA,761,18.22,16.19,2.0,8.58,8
ABQ,AS,81,7.93,6.51,1.2,-1.71,4
ABQ,B6,60,45.47,43.2,0.0,35.83,9
ABQ,DL,358,2.26,-4.71,0.8,-7.38,1
ABQ,MQ,211,8.13,6.19,0.5,-1.51,5
ABQ,NK,137,8.99,4.76,0.0,-0.65,6
ABQ,OO,1021,2.8,-0.76,0.6,-6.84,2
ABQ,UA,454,7.72,2.28,0.7,-1.92,3
ABQ,WN,2938,10.46,4.41,0.6,0.82,7
ABR,OO,150,26.08,17.56,0.7,0.0,1
ABY,9E,8,38.38,33.13,0.0,23.27,2
ABY,OO,183,14.08,13.71,1.1,-1.03,1
ACK,B6,238,11.57,7.27,1.7,-1.58,1
ACK,MQ,6,13.17,19.83,0.0,0.02,2
ACK,OO,5,94.25,75.0,20.0,81.1,4
ACK,YX,137,13.53,14.37,10.2,0.38,3
ACT,MQ,88,16.74,16.13,2.3,1.33,2
ACT,OO,191,14.8,15.58,1.6,-0.61,1
ACV,OO,428,17.28,15.01,1.6,0.0,1
ACY,NK,768,9.89,3.51,2.0,0.0,1
ADK,AS,19,5.4,7.13,21.1,0.0,1
ADQ,AS,203,6.82,6.02,2.5,0.0,1
AEX,9E,188,5.85,-0.01,0.0,-4.74,1
AEX,MQ,10,10.2,17.2,0.0,-0.39,2
AEX,OO,256,14.2,11.45,3.1,3.61,3
AGS,9E,406,10.39,5.03,2.7,-6.55,4
AGS,AA,6,3.67,0.33,0.0,-13.27,1
AGS,DL,43,8.51,1.81,0.0,-8.43,3
AGS,MQ,52,14.33,7.31,1.9,-2.61,5
AGS,OH,413,23.32,22.29,2.9,6.38,7
AGS,OO,111,23.2,17.26,0.9,6.26,6
AGS,YX,8,6.63,-5.88,0.0,-10.31,2
AKN,AS,37,-6.46,-2.7,0.0,0.0,1
ALB,9E,237,13.7,1.63,2.5,0.55,7
ALB,AA,338,17.39,12.86,1.2,4.24,8
ALB,B6,178,17.91,13.26,1.7,4.76,9
ALB,DL,298,17.93,9.13,1.3,4.78,10
ALB,G4,132,24.67,17.74,1.5,11.52,11
ALB,MQ,45,1.13,-1.04,0.0,-12.02,1
ALB,OH,267,10.51,8.95,4.1,-2.64,4
ALB,OO,187,11.01,8.64,0.0,-2.14,6
